_id,nb,room_type
Room~~Ball1,701.00000,RoomType~~07-Ball
Room~~Conference1,601.00000,RoomType~~06-Conference
Room~~DoubleDeluxe1,101.00000,RoomType~~01-DoubleDeluxe
Room~~DoubleDeluxe2,102.00000,RoomType~~01-DoubleDeluxe
Room~~DoubleDeluxe3,103.00000,RoomType~~01-DoubleDeluxe
Room~~DoubleDeluxe4,104.00000,RoomType~~01-DoubleDeluxe
Room~~EconomyDouble1,401.00000,RoomType~~04-EconomyDouble
Room~~EconomyDouble2,402.00000,RoomType~~04-EconomyDouble
Room~~EconomyDouble3,403.00000,RoomType~~04-EconomyDouble
Room~~EconomyDouble4,404.00000,RoomType~~04-EconomyDouble
Room~~EconomySigle1,501.00000,RoomType~~05-EconomySigle
Room~~EconomySigle2,502.00000,RoomType~~05-EconomySigle
Room~~EconomySigle3,503.00000,RoomType~~05-EconomySigle
Room~~EconomySigle4,504.00000,RoomType~~05-EconomySigle
Room~~Honeymoon1,301.00000,RoomType~~03-Honeymoon
Room~~Honeymoon2,302.00000,RoomType~~03-Honeymoon
Room~~Honeymoon3,303.00000,RoomType~~03-Honeymoon
Room~~Honeymoon4,304.00000,RoomType~~03-Honeymoon
Room~~SigleDeluxe1,201.00000,RoomType~~02-SigleDeluxe
Room~~SigleDeluxe2,202.00000,RoomType~~02-SigleDeluxe
Room~~SigleDeluxe3,203.00000,RoomType~~02-SigleDeluxe
Room~~SigleDeluxe4,204.00000,RoomType~~02-SigleDeluxe
